"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"2",3199.92856,2898.0032,3207.46944,2879.49976,2804.77816,2513.83496,3298.40116,3144.14576,2834.0292,2479.26196,2696.96486,2751.39006,2973.42736,3175.59936,2763.95896,2496.00324,3256.76376,3109.53212,2799.97616,3271.17936,2434.57904,2752.78812,3240.43896,3132.92416,2711.42614,2789.7914,3264.08976,2233.80904,3271.17936,3174.46976,2785.5176,2728.0956,2710.17538,3114.28988,3244.87636,2464.97476,2712.1904,3264.08976,3113.18012,2660.43656,3057.26652,2403.56256,2498.96424,2951.7761,2826.82416,2576.81056,2755.08396,2518.13164,3212.88056,2435.35924,2682.82254,2496.7506,2809.30424,2844.48562,3246.28536,3121.42016,3257.51376,3056.41792,2811.69576,2518.417,3136.45752,2794.61376,2851.54416,2782.19736,2665.55162,2936.4686,2888.43336,2838.1142,3110.33352,2404.39474,2478.82084,3181.86536,3295.08476,3261.33976,2699.40736,2807.06736,3196.60456,3298.40116,2704.02934,2822.60016,3063.57696,2336.17016,2876.96256,2755.88396,2771.72616,3129.15642,3107.30112,3164.31144,3321.01416,3234.92716,2523.08604,2803.97716,2547.42748,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,3045.88736
"3",3199.92856,2898.0032,3207.46944,2879.49976,2804.77816,2610.85496,3298.40116,3144.14576,2959.9048,2484.48996,2719.38986,2844.68296,2973.42736,3183.75936,2899.71396,2501.49624,3256.76376,3109.53212,2799.97616,3271.17936,2538.75804,2759.32572,3240.43896,3132.92416,2714.31784,2799.8544,3264.08976,2265.78604,3271.17936,3227.79376,2785.5176,2728.0956,2744.23138,3177.73688,3244.87636,2580.37176,2714.4314,3330.88376,3113.18012,2887.52756,3057.26652,2403.56256,2525.34424,2987.6483,2826.82416,2911.90456,2755.08396,2562.96664,3212.88056,2435.35924,2687.66184,2595.0036,2817.94424,2970.86712,3246.28536,3121.42016,3257.51376,3056.41792,2878.99176,2628.169,3139.31752,2839.25076,2873.94416,2782.19736,2686.02422,2976.0409,2888.43336,2838.1142,3186.83352,2498.09964,2551.62084,3181.86536,3295.08476,3261.33976,2709.80416,2807.06736,3196.60456,3347.98716,2708.86864,2880.08216,3120.40296,2362.81016,2876.96256,2760.10796,2850.80416,3129.15642,3185.51112,3257.81744,3321.01416,3252.50616,2574.38304,2803.97716,2584.32748,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,3045.88736
"4",3199.92856,2986.8812,3207.46944,2879.49976,2810.50316,2629.75496,3298.40116,3144.14576,2972.3848,2604.33756,2726.86986,2844.68296,3139.28586,3183.75936,2925.38196,2620.69624,3264.08976,3173.30712,2799.97616,3271.17936,2618.67804,2792.07782,3240.43896,3132.92416,2719.15714,2799.8544,3264.08976,2303.02604,3271.17936,3227.79376,2792.0636,2728.0956,2746.38808,3177.73688,3244.87636,2580.37176,2839.4354,3330.88376,3113.18012,2887.52756,3059.41452,2430.12686,2557.32124,2987.6483,2826.82416,2911.90456,2843.74526,2724.36454,3214.89456,2572.27384,2687.66184,2595.0036,2840.57624,2970.86712,3246.28536,3136.32946,3257.51376,3149.65992,2878.99176,2650.369,3154.86752,2839.25076,2892.09416,2782.19736,2720.17212,2976.0409,2888.43336,2893.046,3186.83352,2564.42964,2632.08084,3181.86536,3295.08476,3261.33976,2709.80416,2872.89696,3196.60456,3347.98716,2712.35464,2884.30616,3120.40296,2631.67466,2925.64456,2842.99396,2850.80416,3133.21242,3185.51112,3257.81744,3321.01416,3253.80816,2599.02304,2803.97716,2647.59548,2939.785,3262.52376,3158.12744,3204.09736,3087.58976,2842.3492,3045.88736
"5",3199.92856,2986.8812,3207.46944,2930.88976,2810.50316,2668.49496,3298.40116,3233.74376,2972.3848,2627.82146,2726.86986,2844.68296,3139.28586,3183.75936,2951.39296,2620.69624,3264.08976,3173.30712,2799.97616,3271.17936,2620.07804,2846.36142,3240.43896,3132.92416,2722.64314,2799.8544,3266.06576,2330.59604,3271.17936,3246.96776,2792.3636,2906.5096,2747.20878,3177.73688,3244.87636,2580.37176,2862.0674,3330.88376,3113.18012,2938.23856,3148.25352,2532.99796,2587.14124,3013.3192,2886.76216,2965.29656,2843.74526,2729.20384,3214.89456,2604.25084,2691.14784,2595.0036,2840.57624,2970.86712,3246.28536,3154.08946,3257.51376,3149.65992,2885.50676,2654.769,3154.86752,2839.25076,2892.09416,2782.19736,2724.10212,3001.7118,2888.43336,2893.046,3186.83352,2564.42964,2633.48084,3185.06466,3295.08476,3261.33976,2832.06536,2896.04886,3213.24656,3347.98716,2729.29464,2890.82116,3120.40296,2631.67466,2925.64456,2852.10196,2876.80416,3133.21242,3185.51112,3257.81744,3321.01416,3253.80816,2631.00004,2803.97716,2647.59548,2939.785,3262.52376,3161.41874,3204.09736,3087.58976,2906.9332,3045.88736
"6",3207.84256,2986.8812,3238.90784,3013.51976,2876.72116,2671.25496,3304.75116,3233.74376,2981.2798,2629.09406,2760.11986,2844.68296,3139.28586,3183.75936,2968.34896,2649.81624,3264.74976,3173.30712,2803.72616,3271.17936,2623.35104,2846.36142,3240.43896,3132.92416,2738.84814,2799.8544,3266.06576,2330.59604,3271.17936,3246.96776,2792.3636,2906.5096,2750.69478,3177.73688,3244.87636,2580.37176,2868.5824,3330.88376,3113.18012,3075.04056,3148.25352,2532.99796,2588.85124,3060.7562,2890.82116,2965.29656,2853.89246,2731.36054,3214.89456,2627.50084,2746.07584,2595.0036,2847.09124,3070.81512,3246.28536,3154.08946,3257.51376,3149.65992,2885.50676,2671.605,3154.86752,2839.25076,2942.64416,2782.19736,2752.32892,3055.4418,2888.43336,2920.0389,3186.83352,2587.06164,2636.24084,3185.06466,3295.08476,3261.33976,2854.69736,2896.04886,3213.24656,3347.98716,2729.29464,2890.82116,3120.40296,2716.58966,3154.26256,2852.10196,2944.95866,3158.47842,3185.51112,3257.81744,3325.96916,3304.68216,2633.76004,2803.97716,2654.11048,2979.3573,3262.52376,3161.41874,3204.09736,3087.58976,2906.9332,3051.10736
"7",3207.84256,2986.8812,3238.90784,3013.51976,2957.36066,2708.76896,3304.75116,3233.74376,2981.2798,2629.09406,2792.65486,2844.68296,3139.28586,3184.00936,3026.01296,2682.70524,3264.74976,3179.82212,2875.47616,3271.17936,2660.58104,2846.36142,3240.43896,3132.92416,2738.84814,2803.8304,3266.06576,2340.09604,3271.17936,3246.96776,2801.1722,2906.5096,2750.69478,3177.73688,3244.87636,2580.37176,2868.5824,3330.88376,3140.57312,3075.04056,3154.76852,2586.54796,2709.17124,3060.7562,2890.82116,2965.29656,2853.89246,2734.84654,3302.50256,2708.28084,2746.07584,2606.3629,2847.09124,3070.81512,3246.28536,3154.08946,3257.51376,3149.65992,2885.50676,2760.6459,3154.86752,3025.65576,2942.64416,2782.19736,2752.32892,3055.4418,2914.47696,2920.0389,3186.83352,2587.06164,2673.70084,3192.68466,3295.08476,3268.43476,2861.21236,2909.02066,3213.24656,3347.98716,2729.29464,2890.82116,3120.40296,2716.58966,3154.26256,2852.10196,2953.85366,3158.47842,3185.51112,3257.81744,3325.96916,3304.68216,2652.63004,2803.97716,2654.11048,2979.3573,3329.10676,3161.41874,3204.09736,3087.58976,2906.9332,3051.10736
"8",3207.84256,2986.8812,3238.90784,3026.95976,2957.36066,2771.76896,3304.75116,3233.74376,2981.2798,2629.09406,2821.60486,2844.68296,3139.28586,3281.22886,3026.01296,2772.00524,3264.74976,3179.82212,2875.47616,3271.17936,2684.76104,2846.36142,3248.89896,3132.92416,2738.84814,2852.5904,3266.06576,2359.45604,3271.17936,3246.96776,2801.4842,2906.5096,2750.69478,3177.73688,3298.60236,2580.37176,2890.5236,3330.88376,3154.51912,3075.04056,3154.76852,2609.17996,2756.73124,3060.7562,2890.82116,2965.29656,2853.89246,2734.84654,3312.30356,2708.28084,2770.22584,2606.3629,2847.09124,3070.81512,3246.95136,3154.08946,3257.51376,3165.94182,2907.44796,2808.0219,3154.86752,3025.65576,3023.03416,2782.19736,2752.32892,3055.4418,2930.75886,2930.0145,3186.83352,2593.57664,2704.92084,3192.68466,3295.08476,3268.43476,2861.21236,2909.02066,3213.24656,3352.54116,2826.23864,2890.82116,3136.68486,2716.58966,3154.26256,2852.10196,2953.85366,3158.47842,3185.51112,3257.81744,3325.96916,3304.68216,2796.38004,2882.59616,2654.11048,3005.0282,3329.10676,3260.13934,3204.09736,3087.58976,2906.9332,3204.09736
"9",3207.84256,2986.8812,3238.90784,3026.95976,2966.25566,2802.98896,3304.75116,3233.74376,2982.9798,2682.31606,2821.73486,2871.73096,3139.28586,3281.22886,3026.01296,2789.73524,3264.74976,3179.82212,2875.47616,3271.17936,2717.65004,2848.37142,3248.89896,3132.92416,2738.88814,2852.5904,3266.06576,2360.18604,3271.17936,3246.96776,2801.4842,2906.5096,2750.69478,3184.21188,3298.60236,2580.37176,2905.6605,3330.88376,3154.51912,3075.04056,3154.76852,2615.69496,2757.29124,3060.7562,2890.82116,2965.29656,2853.89246,2734.84654,3312.30356,2763.30084,2770.22584,2606.3629,2847.09124,3070.81512,3246.95136,3154.08946,3273.60576,3165.94182,2922.58486,2811.5079,3202.29352,3025.65576,3036.47416,2782.19736,2758.66602,3055.4418,2930.75886,2930.0145,3186.83352,2593.57664,2712.52084,3192.68466,3295.08476,3268.43476,2870.03736,2909.02066,3213.24656,3352.54116,2826.23864,2912.76236,3136.68486,2773.19966,3154.26256,2852.10196,2953.85366,3158.47842,3185.51112,3257.81744,3325.96916,3304.68216,2811.96004,2910.08616,2654.11048,3005.0282,3329.10676,3260.13934,3204.09736,3087.58976,2930.0145,3204.09736
"10",3219.60256,3040.3037,3307.65224,3026.95976,2966.25566,2810.58896,3368.76066,3233.74376,2982.9798,2682.31606,2870.89486,2875.95496,3139.28586,3281.22886,3026.01296,2793.15524,3264.74976,3179.82212,2875.47616,3271.17936,2735.38004,3022.88142,3248.89896,3132.92416,2738.88814,2852.5904,3341.05526,2360.18604,3271.17936,3246.96776,2805.4522,2906.5096,2750.73478,3184.21188,3298.60236,2580.37176,2905.6605,3330.88376,3154.51912,3075.04056,3154.76852,2615.69496,2758.06624,3060.7562,2890.82116,2965.29656,2854.09406,2836.19954,3312.30356,2763.30084,2772.38254,2606.3629,2847.09124,3070.81512,3251.23136,3219.72646,3273.60576,3171.23182,2922.58486,2811.5479,3202.29352,3025.65576,3036.47416,2832.26896,2798.11372,3062.1469,2930.96046,2930.0145,3186.83352,2593.57664,2756.20084,3192.98466,3365.21926,3343.48776,2870.03736,2909.02066,3222.03786,3352.54116,2826.23864,2927.89926,3136.68486,2774.33066,3154.26256,2852.10196,2953.85366,3158.47842,3185.51112,3257.81744,3325.96916,3304.68216,2811.96004,2910.08616,2654.11048,3005.0282,3329.10676,3260.13934,3204.09736,3087.58976,2930.0145,3204.09736
